udp_timestamp,group_1_field_1,group_1_field_2,group_1_field_3,group_1_field_4,group_1_field_5,group_1_field_6,group_1_field_7,group_1_field_8,group_13_field_1,group_13_field_2,group_13_field_3,group_13_field_4,group_13_field_5,group_13_field_6,group_13_field_7,group_13_field_8,group_14_field_1,group_14_field_2,group_14_field_3,group_14_field_4,group_14_field_5,group_14_field_6,group_14_field_7,group_14_field_8,group_17_field_1,group_17_field_2,group_17_field_3,group_17_field_4,group_17_field_5,group_17_field_6,group_17_field_7,group_17_field_8,group_20_field_1,group_20_field_2,group_20_field_3,group_20_field_4,group_20_field_5,group_20_field_6,group_20_field_7,group_20_field_8,group_115_field_1,group_115_field_2,group_115_field_3,group_115_field_4,group_115_field_5,group_115_field_6,group_115_field_7,group_115_field_8
2026-08-26T19:18:52.846135+00:00,4833.14697265625,3574.118896484375,3574.118896484375,0.0,-999.0,18.385032653808594,20.385032653808594,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:18:53.646126+00:00,4833.947265625,3574.9189453125,3574.9189453125,0.0,-999.0,18.385255813598633,20.385255813598633,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:18:54.445949+00:00,4834.7470703125,3575.718994140625,3575.718994140625,0.0,-999.0,18.38547706604004,20.38547706604004,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:18:55.246048+00:00,4835.54736328125,3576.518798828125,3576.518798828125,0.0,-999.0,18.385700225830078,20.385700225830078,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:18:56.046467+00:00,4836.34716796875,3577.31884765625,3577.31884765625,0.0,-999.0,18.385921478271484,20.385921478271484,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:18:56.846163+00:00,4837.14697265625,3578.118896484375,3578.118896484375,0.0,-999.0,18.386144638061523,20.386144638061523,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:18:57.646023+00:00,4837.947265625,3578.918701171875,3578.918701171875,0.0,-999.0,18.38636589050293,20.38636589050293,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:18:58.445919+00:00,4838.74755859375,3579.718994140625,3579.718994140625,0.0,-999.0,18.38658905029297,20.38658905029297,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:18:59.245837+00:00,4839.54736328125,3580.51904296875,3580.51904296875,0.0,-999.0,18.386810302734375,20.386810302734375,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:19:00.046086+00:00,4840.34716796875,3580.58544921875,3580.58544921875,0.0,-999.0,18.386829376220703,20.386829376220703,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:19:00.845969+00:00,4841.1474609375,3580.58544921875,3580.58544921875,0.0,-999.0,18.386829376220703,20.386829376220703,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:19:01.646586+00:00,4841.947265625,3580.58544921875,3580.58544921875,0.0,-999.0,18.386829376220703,20.386829376220703,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:19:02.446314+00:00,4842.7470703125,3580.58544921875,3580.58544921875,0.0,-999.0,18.386829376220703,20.386829376220703,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:19:03.246234+00:00,4843.546875,3580.58544921875,3580.58544921875,0.0,-999.0,18.386829376220703,20.386829376220703,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:19:04.046103+00:00,4844.34716796875,3580.58544921875,3580.58544921875,0.0,-999.0,18.386829376220703,20.386829376220703,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,0.2003851681947708,-0.943842887878418,343.6389465332031,-999.0,338.0405578613281,-5.598381042480469,-999.0,341.53277587890625,,,,,,,,,,,,,,,,
2026-08-26T19:19:04.846098+00:00,4845.14697265625,3580.58544921875,3580.58544921875,0.0,-999.0,18.386829376220703,20.386829376220703,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,0.2003851681947708,-0.943842887878418,343.6389465332031,-999.0,338.0405578613281,-5.598381042480469,-999.0,341.53277587890625,,,,,,,,,,,,,,,,
2026-08-26T19:19:05.646008+00:00,4845.947265625,3580.58544921875,3580.58544921875,0.0,-999.0,18.386829376220703,20.386829376220703,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,0.2003851681947708,-0.943842887878418,343.6389465332031,-999.0,338.0405578613281,-5.598381042480469,-999.0,341.53277587890625,,,,,,,,,,,,,,,,
2026-08-26T19:19:06.445858+00:00,4846.7470703125,3580.58544921875,3580.58544921875,0.0,-999.0,18.386829376220703,20.386829376220703,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,0.2003851681947708,-0.943842887878418,343.6389465332031,-999.0,338.0405578613281,-5.598381042480469,-999.0,341.53277587890625,,,,,,,,,,,,,,,,
2026-08-26T19:19:07.246344+00:00,4847.54736328125,3580.58544921875,3580.58544921875,0.0,-999.0,18.386829376220703,20.386829376220703,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,0.2003851681947708,-0.943842887878418,343.6389465332031,-999.0,338.0405578613281,-5.598381042480469,-999.0,341.53277587890625,,,,,,,,,,,,,,,,
2026-08-26T19:19:08.046350+00:00,4848.34716796875,3580.58544921875,3580.58544921875,0.0,-999.0,18.386829376220703,20.386829376220703,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,0.2003851681947708,-0.943842887878418,343.6389465332031,-999.0,338.0405578613281,-5.598381042480469,-999.0,341.53277587890625,63.45188903808594,10.925076484680176,8.438712120056152,0.10492881387472153,3.8186442852020264,8.543464660644531,63.5,11.0,,,,,,,,
2026-08-26T19:19:08.846558+00:00,4849.14697265625,3580.58544921875,3580.58544921875,0.0,-999.0,18.386829376220703,20.386829376220703,8.070528984069824,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,0.2003851681947708,-0.943842887878418,343.6389465332031,-999.0,338.0405578613281,-5.598381042480469,-999.0,341.53277587890625,63.45188903808594,10.925076484680176,8.438712120056152,0.10492881387472153,3.8186442852020264,8.543464660644531,63.5,11.0,,,,,,,,
